,UniqueID,no_intake_question,no_retest1_question,no_retest2_question,SET_program_num,ETO_PROGRAM,SET_admin_num,baseline_type,enroll_SET_type_num,enroll_SET_type,cycle_1_1,cycle_1_2,phase_1_1,phase_1_2,cycle_new,phase_new,newly_enrolled,early_or_end,intake,retest,GRYD_Zone_num,INTERVIEW_DATE_FB,ENROLLMENT_DATE_1,AGE_1_FB,SEX_1,GROUP_POSITION_1,group_position,TATTOO_REMOVE_1,comments_page1_1,S1,S2,S3,S4x,S5x,S7x,S6ax,S6b_Other_Activities,S9,S10,S10_num,S10x,S10z,S11a,S11a_Comments,S11b,S12,S13,S14,S16,ME17,ME18,ME19,ME20a,ME20b,ME20x,ME22_ER,P22,P23,P24,P25,P26,C1a,C1b,C2a,C2b,C3a,C3b,C4a,C4b,C5a,C5b,Group_name_part1,PUSH_1,PULL_1,FS89_foster_now,FS89_foster_past,FS89_group_now,FS89_group_past,FS89_adopted_now,FS89_adopted_past,FS89_parents_now,FS89_parents_past,FS89_relatives_now,FS89_relatives_past,FS89_spouse_now,FS89_spouse_past,FS89_boygirlfriend_now,FS89_boygirlfriend_past,FS89_alone_now,FS89_alone_past,FS90_younger,FS90_teenagers,FS90_20_29_adults,FS90_30_49_adults,FS90_older_adults,F1,F2,F3,IF_NO_FAMILY_TEXT,no_fam_num,F4,F5,FS91,FS92,FS93,FS94,FS95,FS96,FS97,FS98,FS100,FS101,FS102,FS103,FS104,FS105,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16a,F16bx,F17x,F18,F19,F20,F21,F22x,F23x,F24x,F25x,F26,F27,F28x,F29,F31x,F31b,group_name_part2,no_group_num,G2,G3a,G3b,EG1,EG2_most,EG2_youngest,EG2_oldest,EG3,EG4x,G5,G5_num,G6,G7,G8,G9,X11_FIXED,G10x,G11,G12x,G13,G14x,G15,G16,G17,G18,G19,G20,G21,G22a,G22bx,G23x,G24,G25,G26,G27,G28x,G29x,G30x,G31x,G32,G33,G34x,G35,G36x,G36b,G37,X18,X19,X20,X21,X22,A1,A1_Description,A2,A2_Description,A3,A3_Description,A4,O1_other_group_name,no_othgp_num,O4,O5,O6,O7x,O8,O9,X12_FIXED,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19a,O19b,O20x,O21,O22,O23,O24,X10,X11,X12,X13,X14,X15,X16,X17,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8_Not_Honest,Completed_by_CIW,CIW_CLIENT_ID,CIW_INTERVIEW_DATE,CIW_COMPLETED_DATE,CIW1,CIW2,CIW3,CIW4,CIW5,CIW6_COMMENTS
3,49866, , , ,1,1,1, , , ,1,777,2,777,1,2,1,777,1,777,14,3/15/2019,3/6/2019,22,1,2,2,0,Blank,1.0,1.0,0.0,0.0,0.0,40.0,5.0,Spend time with family,3.0,0.0,0,1.0,0.0,1.0,Mom left home,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,Aves Plug,Not really,My son,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,3,10,4,777,1.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,Aves Plug,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,0.0,777,0.0,777,0.0,777,999,No other group,0.0,,,,,,, ,,,,,,,,,,,,,,,,,3.0,2.0,9.0,3.0,4.0,9.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,Blank,999, , , ,1.0,4.0,4.0,1.0,3.0,Client's son is helping him to change little by little
4,49868, , , ,1,1,1, , , ,1,777,2,777,1,2,1,777,1,777,14,3/15/2019,3/7/2019,23,1,2,2,0,Blank,0.0,0.0,0.0,0.0,0.0,40.0,5.0,Exercise,3.0,0.0,0,1.0,0.0,0.0,777,0.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,,Aves Plug,Nothing,Not really nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1,0,4,777,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,Aves Plug,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,777,0.0,777,0.0,777,999,No other group,0.0,,,,,,, ,,,,,,,,,,,,,,,,,1.0,3.0,9.0,3.0,1.0,9.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,Blank,999, , , ,2.0,3.0,4.0,1.0,3.0,Slow progress
5,49870, , , ,1,1,1, , , ,1,777,2,777,1,2,1,777,1,777,14,3/14/2019,3/6/2019,25,2,2,2,0,Blank,0.0,1.0,0.0,0.0,0.0,0.0,3.0,Exercise,3.0,0.0,0,1.0,0.0,0.0,777,0.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,Aves Chicas,No nothing really,My daughter,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,2,31,6,777,1.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,Aves Chicas,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,777,0.0,777,0.0,777,999,No other group,0.0,,,,,,, ,,,,,,,,,,,,,,,,,3.0,3.0,9.0,4.0,4.0,9.0,2.0,1.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,Blank,999, , , ,2.0,3.0,3.0,1.0,3.0,She goes there a lot ?home? She is trying to change
8,47002, , , ,1,1,1, , , ,1,777,2,777,1,2,1,777,1,777,23,9/13/2018,9/4/2018,18,2,3,3,0,Blank,0.0,0.0,0.0,30.0,14.0,0.0,6.0,Client stated that she goes to church sometimes,0.0,0.0,0,0.0,0.0,0.0,777,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,No group,777,777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1,10,5,777,1.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,No group,0.0,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,Client goes to church,1.0,Client does participate in workshops,1.0,(GYRD) program,1,Volunteers of America (GRYD),,,,,,,,2,,,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0,4.0,0.0,2.0,4.0,Blank,999,Southwest 2-23-230-1,9/13/2018,9/13/2018,2.0,3.0,1.0,4.0,0.0,Client has been attending program and is staying focused
13,41570, , , ,2,2,1, ,1,intake,1,777,2,777,1,2,1,777,1,777,999,10/25/2017,10/6/2017,16,1,4,4,0,Blank,1.0,0.0,0.0,40.0,5.0,0.0,3.0,"Wrap around, probation cause it helps me take couseling, GRYD reentry.",0.0,0.0,0,0.0,0.0,0.0,777,0.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,30.0,1.0,150.0,0.0,,0.0,,1.0,0.0,No group,Myself being locked up.,Things from past pull you back like probation for kicking it.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,3,5,4,777,1.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,No group,0.0,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,1.0,School friends,1.0,JROTC/Sports,1.0,School friends,0,School friends,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,9.0,2.0,9.0,9.0,9.0,0.0,0.0,4.0,1.0,0.0,4.0,2.0,5.0,3.0,Blank,999,SSSEARE-0-100-1, , ,,,,,,no page 17 completed
14,42392, , , ,2,2,1, ,1,intake,1,777,2,777,1,2,999,999,1,777,999,1/16/2018,1/8/2018,16,1,1,1,0,Blank,0.0,0.0,0.0,40.0,10.0,0.0,0.0,777,2.0,0.0,0,0.0,0.0,1.0,My grandfather passed away,0.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,30.0,1.0,150.0,0.0,,0.0,,0.0,,No group,777,777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,2.0,,0,5,4,777,1.0,2.0,0.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,No group,0.0,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,School friends,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,2.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,4.0,2.0,1.0,4.0,0.0,3.0,3.0,Blank,999,SSSEARE-0-103-1, , ,,,,,,no page 17 completed
15,43298, , , ,2,2,1, ,1,intake,1,777,3,777,1,3,1,777,1,777,999,5/1/2018,3/14/2018,15,1,4,4,0,Blank,0.0,0.0,0.0,30.0,5.0,0.0,0.0,777,4.0,0.0,0,1.0,0.0,0.0,777,0.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,1.0,1.0,4.0,1.0,0.0,1.0,180.0,0.0,,0.0,,0.0,,Homies,No. Nothing has happened,"No, but I don't want to go back to camp",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,1.0,1.0,0,0,4,777,1.0,,2.0,5.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,Homies,1.0,12.0,0.0,,6.0,17.0,13.0,45.0,1.0,1.0,4.0,4.0,0.0,4.0,3.0,4.0,3,,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,777,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,2.0,3.0,9.0,3.0,0.0,9.0,0.0,0.0,4.0,2.0,3.0,1.0,4.0,3.0,3.0,Blank,999, , , ,,,,,,no page 17 completed
16,45090, , , ,2,2,1, , , ,1,777,2,777,1,2,1,777,1,777,999,5/31/2018,5/22/2018,15,2,3,3,0,Blank,0.0,0.0,0.0,30.0,6.0,0.0,0.0,777,3.0,0.0,0,1.0,0.0,0.0,777,0.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,1.0,182.0,0.0,,0.0,,0.0,,Homies,Being away from my home and family at camp,I didn't want to be locked up in camp. I don't plan on returning,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,1.0,1.0,0,5,4,777,1.0,2.0,1.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,Homies,1.0,12.0,1.0,15.0,6.0,18.0,13.0,45.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,1,4.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,777,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,2.0,1.0,9.0,1.0,0.0,9.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,Blank,999, , , ,,,,,,no page 17 completed
26,26789, , , ,2,2,1, ,1,intake,1,777,777,4,1,4,999,999,1,777,999,4/15/2016,8/13/2015,17,1,4,4,0,Blank,0.0,0.0,0.0,40.0,10.0,0.0,5.0,999,4.0,1.0,1,1.0,0.0,0.0,777,0.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,1.0,72.0,0.0,,0.0,,0.0,,0.0,,No name,Friend passed away which made him closer to his mother,Can't thing of anything right now,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,2.0,1.0,1,5,7,777,1.0,3.0,7.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,5.0,No group,0.0,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,1.0,Church friend and school friend,0.0,777,1.0,Church friend and school friend,0,School friends,1.0,3.0,4.0,5.0,6.0,4.0,5.0,4,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,1.0,5.0,3.0,Blank,777,SSSEARE-0-39-1, , ,,,,,,no page 17 completed
27,35390, , , ,2,2,1, ,1,intake,1,777,777,7,1,7,777,3,1,777,999,7/17/2017,10/14/2016,18,1,4,4,0,Blank,1.0,0.0,0.0,0.0,0.0,0.0,0.0,777,4.0,0.0,0,1.0,0.0,0.0,777,0.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,,1.0,,0.0,,0.0,,0.0,,Clique,Being with my girlfriend.,My girlfriend being pregnant. I want to be a good father.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,2,5,4,777,1.0,4.0,6.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,Clique,1.0,13.0,1.0,18.0,5.0,17.0,13.0,40.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1,4.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,777,0.0,777,0.0,777,0,No other group,0.0,,,,,,,9,,,,,,,,,,,,,,,,,3.0,1.0,9.0,2.0,0.0,9.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,Blank,999,SSSEARE-0-46-1, , ,,,,,,no page 17 completed
