Unnamed: 0,UniqueID,Section_a,Section_b,Section_c,Section_de,Section_f,Section_g,Section_h,Section_t,Section_ij,y_TotalFactors
255,2029,3,2,4,0,2,2,2,0,3,7.0
256,2029,2,4,1,2,2,0,2,1,1,
257,2029,0,0,1,0,0,1,3,1,0,
269,2065,4,2,0,2,3,1,1,1,3,
270,2065,2,3,0,2,3,2,4,3,2,
271,2065,1,3,0,2,1,2,3,3,1,
324,2210,0,0,1,0,0,0,0,0,0,1.0
325,2210,0,0,0,0,0,0,0,0,0,0.0
326,2210,0,0,0,0,0,0,0,0,0,0.0
352,2271,0,0,0,0,0,1,0,1,0,2.0
353,2271,0,0,0,0,0,3,1,1,0,
354,2271,0,0,0,0,0,0,0,1,0,2.0
370,2321,2,0,2,1,2,0,4,3,2,
371,2321,0,0,2,1,0,0,0,1,0,4.0
372,2321,0,0,0,0,0,0,2,1,0,3.0
851,3538,2,3,3,3,1,0,2,0,1,7.0
852,3538,0,0,1,0,1,1,1,0,0,5.0
853,3538,0,0,0,0,0,0,0,0,0,0.0
869,3552,3,3,3,2,1,1,2,0,0,7.0
870,3552,0,0,0,0,0,1,0,0,0,1.0
871,3552,0,0,0,0,0,0,0,0,0,0.0
892,3569,2,3,3,2,1,4,1,0,0,8.0
893,3569,2,3,3,3,0,4,4,0,0,6.0
894,3569,0,3,1,2,0,0,3,0,1,5.0
895,3570,2,2,0,1,0,4,0,0,1,5.0
896,3570,0,0,0,0,0,0,0,0,0,0.0
897,3570,0,0,0,1,0,1,0,0,0,2.0
903,3575,0,0,0,0,0,0,0,1,0,1.0
904,3575,0,0,0,0,0,0,0,1,0,
905,3575,0,0,0,0,0,0,1,1,0,2.0
919,3586,4,3,3,3,2,1,1,0,0,7.0
920,3586,0,0,3,2,0,1,1,0,2,5.0
921,3586,2,3,0,2,0,1,0,0,0,4.0
922,3587,0,0,0,0,0,0,0,1,0,1.0
923,3587,0,0,1,0,0,0,2,3,0,3.0
924,3587,0,1,1,0,0,0,2,1,0,4.0
925,3588,0,1,0,0,0,1,0,1,0,3.0
926,3588,0,2,0,0,0,1,1,0,0,3.0
927,3588,0,0,0,0,0,1,1,1,0,3.0
940,3599,2,0,1,2,1,3,1,0,0,6.0
941,3599,0,0,0,0,0,0,0,0,0,0.0
942,3599,0,0,0,0,0,0,0,0,0,0.0
961,3614,3,3,0,2,3,3,2,0,0,6.0
962,3614,0,0,0,0,0,0,0,0,0,0.0
963,3614,0,0,0,0,0,0,0,0,0,0.0
964,3615,3,0,2,2,2,0,2,0,0,5.0
965,3615,0,2,0,1,2,1,1,1,0,6.0
966,3615,0,0,0,0,0,0,1,1,0,2.0
1022,3659,1,2,1,2,1,1,0,1,0,7.0
1023,3659,0,0,2,0,0,0,0,0,0,1.0
1024,3659,0,1,0,0,0,0,0,1,0,2.0
1059,3687,4,4,1,4,3,4,3,1,1,9.0
1060,3687,0,0,0,1,1,0,4,3,0,5.0
